,sentence_norm,canonical_aspect,majority_category,majority_sentiment,majority_tone,runs_count,,,,,,
0,**Customer Oriented** Providing the best service for customer satisfaction,corporate core values - customer focus,s,positive,commitment,1,,,,,,
1,**Dynamic and Innovative** Quickly adapt and seek for creative solutions.,corporate core values - innovation,none,positive,commitment,1,,,,,,
2,"**Integrity** Honest, accountable and responsibility.",corporate core values - integrity,g,positive,commitment,1,,,,,,
3,**Learning without limits** Continuously learning to develop ourselves,corporate core values - continuous learning,none,positive,commitment,1,,,,,,
4,"**Respect Others** Respect, cooperativeness and good environment",corporate core values - respect,s,positive,commitment,1,,,,,,
5,0 critical incident,health and safety,s,neutral,none,1,,,,,,
6,0 insiden critical,safety incidents,s,neutral,none,1,,,,,,
7,1,other,none,neutral,none,1,,,,,,
8,"1,000 Trees planted at Pantai Bahagia Bekasi.",environmental,e,positive,outcome,1,,,,,,
9,"1,353 mangrove trees planted absorbing 261.2 kgCO₂ emissions",biodiversity conservation,e,positive,outcome,1,,,,,,
10,"1,353 mangrove trees planted absorbing 261.2 kgCO₂ emissions",carbon sequestration,e,positive,outcome,1,,,,,,
11,1.224 MILIAR DANA BANTUAN KESEHATAN,dana bantuan kesehatan,s,positive,outcome,1,,,,,,
12,1.224 MILIAR DANA BANTUAN KESEHATAN,health assistance,s,positive,outcome,1,,,,,,
13,1.264 KM JALAN TOL BEROPERASI,jalan tol beroperasi,none,positive,outcome,1,,,,,,
14,1.696 MILIAR PEMBERDAYAAN EKONOMI MASYARAKAT,community economic empowerment,s,positive,outcome,2,,,,,,
15,1.696 MILIAR PEMBERDAYAAN EKONOMI MASYARAKAT,pemberdayaan ekonomi masyarakat,s,positive,outcome,1,,,,,,
16,1.828 MILIAR DANA KEGIATAN HAYATI,biodiversity activities,e,positive,outcome,1,,,,,,
17,100% performance for Service Level Agreement (SLA) Operations,service quality,none,positive,outcome,1,,,,,,
20,104,other,none,none,none,1,,,,,,
22,112,other,none,none,none,1,,,,,,
23,1155,other,none,none,none,1,,,,,,
24,"12,356 m³ Water Usage (2020)",water consumption,e,neutral,outcome,1,,,,,,
25,"12,9 (LOW RISK)",esg risk level,e-s-g,positive,outcome,1,,,,,,
26,"12,9 (LOW RISK) Hasil ESG Risk Rating yang dilakukan oleh Morningstar Sustainalitycs.",esg risk rating,e-s-g,positive,outcome,1,,,,,,
31,129,other,none,neutral,none,1,,,,,,
32,"14 water towers installed providing clean water access to 6 regions, delivering 850 liters/hour each.",water access,s,positive,outcome,1,,,,,,
33,"14,297 Trees in Reforestation Program",reforestation,e,positive,outcome,1,,,,,,
34,"14,297 Trees in Reforestation Program",reforestation program,e,positive,outcome,2,,,,,,
35,14.297 POHON PROGRAM PENGHIJAUAN,reforestation,e,positive,outcome,2,,,,,,
40,15 water towers constructed since 2011 providing clean water access,community infrastructure,s,positive,outcome,1,,,,,,
44,17 unit Pengisian Kendaraan Listrik Umum (SPKLU)... meningkat 70% atau 7 unit dari tahun sebelumnya,clean technology adoption,e,positive,outcome,1,,,,,,
45,17% Intensitas Financed Emissions dari tahun 2023.,financed emissions,e,neutral,outcome,1,,,,,,
46,17% Intensitas Financed Emissions dari tahun 2023.,financed emissions reduction,e,positive,outcome,1,,,,,,
49,"18 stores implementing waste management program collecting 950.13 kg paper waste, saving 14 trees, 3,808 kWh energy, and preventing 85 kg CH₄ emissions.",paper waste recycling and tree savings,e,positive,outcome,1,,,,,,
53,1965,other,none,neutral,none,1,,,,,,
54,1ST RUNNER UP OF GENDER INCLUSIVE WORKPLACE - WEP'S AWARD BY UN WOMEN,gender inclusive workplace,s,positive,outcome,1,,,,,,
55,2036,other,none,neutral,none,1,,,,,,
56,2039,other,none,neutral,none,1,,,,,,
58,2086,other,none,neutral,none,1,,,,,,
64,23,other,none,neutral,none,1,,,,,,
65,2334,other,none,neutral,none,1,,,,,,
70,"249,245 m3 Water Usage",water consumption,e,neutral,outcome,2,,,,,,
71,249.245 M3 PENGGUNAAN AIR,water usage,e,neutral,outcome,1,,,,,,
73,26,other,none,neutral,none,1,,,,,,
74,26 stores participating in recycled plastic glass program collecting 299 kg rPET glasses.,recycled plastic glass collection,e,positive,outcome,1,,,,,,
76,"27,209.6 GJ Energy Consumption (2020)",energy use,e,neutral,outcome,1,,,,,,
78,"28,497.05 Ton CO2 eq GHG Emission (2020)",ghg emissions,e,neutral,outcome,1,,,,,,
81,292,other,none,neutral,none,1,,,,,,
82,2982,other,none,neutral,none,1,,,,,,
83,2ND RANK LINKEDIN TOP COMPANIES 2022,corporate recognition,none,positive,outcome,1,,,,,,
84,3 (Three) Green Toll Road Certified Roads,green certification,e,positive,outcome,2,,,,,,
85,3 (three) Green Toll Road Certified Roads,environmental certification,e,positive,outcome,1,,,,,,
86,3 (tiga) Ruas Jalan BERSERTIFIKAT GREEN TOLL ROAD,environmental certification,e,positive,outcome,1,,,,,,
