,sentence,canonical_aspect,raw_aspects,aspect_categories,sentiments,tones,avg_confidence
451,This represents a 46% reduction in absolute emissions compared with 2019.,absolute emissions reduction,"Reduction in absolute emissions, Reduction in emissions",E,positive,outcome,0.875
424,"The widespread deployment of telecommunications towers ensures fast and stable internet access, opening doors to the economic opportunities and improving overall quality of life.",access to essential services,Access to Essential Services,S,positive,action,0.85
425,"The widespread deployment of telecommunications towers ensures fast and stable internet access, opening doors to the economic opportunities and improving overall quality of life.",access to technology,Access to Technology,S,positive,action,0.85
256,Japfa berhasil mengekspor ayam hidup ke Singapura untuk pertama kalinya. Hal ini menunjukkan dedikasi Japfa terhadap keamanan produk dan kesejahteraan hewan.,animal welfare and product safety,"Animal Welfare, Animal Welfare & Product Safety, animal welfare",S,positive,outcome,0.8966666667
541,We have a zero-tolerance policy for corruption.,anti-corruption policy,Anti-Corruption Policy,G,neutral,commitment,0.97
246,Income from Operations / Total Assets ▼ -21.63%,asset utilization,Asset Utilization,G,negative,outcome,0.8
423,"The selection of the external assurance provider adhered strictly to the company's procurement policies, ensuring expertise, strong reputation, and no conflicts of interest.",assurance provider selection,Assurance provider selection,G,positive,outcome,0.9
501,We are committed to protecting biodiversity in the areas where we operate.,biodiversity protection,Biodiversity Protection,E,positive,commitment,0.95
349,Peningkatan penggunaan bahan bakar biofuel (B35) di wilayah operasional,biofuel adoption,biofuel adoption,E,positive,action,0.85
351,Peningkatan penggunaan bahan bakar biofuel (B35) di wilayah operasional;,biofuel adoption,Biofuel Adoption,E,positive,action,0.85
350,Peningkatan penggunaan bahan bakar biofuel (B35) di wilayah operasional,biofuel usage,Biofuel Usage,E,positive,action,0.85
113,"All sustainability data, disclosures, and claims presented in this report have been reviewed and approved by the Board of Directors and Board of Commissioners [GRI 2-14].",board approval,Board approval,G,neutral,outcome,0.9
414,"The NGSRC is also briefed on the impact of HP's operations on employees, customers, suppliers, partners, and communities worldwide; supply chain, environment, and sustainability performance; and HP's annual Sustainable Impact Report.",board briefings on sustainability,"Board Briefing, Board Briefing on Sustainability, board briefings on sustainability",E-S-G,neutral,outcome,0.8833333333
